society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,extra_rooms,floorNum,agePossession,built_up_area,furnishing_type,luxury_score
la vida by tata housing,3.35,sector 113,15227.272727272728,3,4,3+,2,12,New Property,2200.0,0,174
emaar mgf the palm drive,3.5,sector 66,16279.06976744186,3,4,3,1,6,Relatively New,2150.0,0,68
parsvnath exotica,4.8,sector 53,19200.0,3,4,3+,3,8,Relatively New,2500.0,2,174
shree arihant apartment,1.5,sector 54,8823.529411764706,3,3,3+,1,4,Moderately Old,1700.0,2,75
la vida by tata housing,2.78,sector 113,11829.787234042551,3,4,3+,1,5,Relatively New,2350.0,0,174
mahindra aura,2.25,sector 110,9574.468085106382,4,4,3+,1,2,Relatively New,2350.0,0,152
aipl the peaceful homes,2.55,sector 70a,12750.0,3,3,3,3,20,New Property,2000.0,2,150
vatika gurgaon,1.25,sector 83,6345.177664974619,4,4,3,1,12,Moderately Old,1970.0,0,103
vatika gurgaon,0.85,sector 83,7727.272727272727,2,2,2,1,18,Moderately Old,1100.0,2,119
krrish provence estate,5.25,gwal pahari,10001.905124785673,4,5,3+,3,2,New Property,5249.0,0,49
godrej aria,1.3,sector 79,10629.599345870809,2,4,2,0,3,Relatively New,1223.0,0,53
sare green parc phase 3,0.75,sector 92,5778.120184899846,3,2,2,0,3,New Property,1298.0,0,121
ireo victory valley,3.65,sector 67,14658.63453815261,3,4,3+,2,18,Relatively New,2490.0,2,61
dlf new town heights,1.65,sector 90,6685.575364667747,4,4,3+,0,7,Moderately Old,2468.0,0,117
dlf new town heights,1.25,sector 90,7352.941176470588,3,3,3+,2,17,Relatively New,1700.0,0,65
dlf new town heights,1.42,sector 90,6638.616175783076,4,4,3+,2,8,Moderately Old,2139.0,0,31
dlf regal gardens,1.27,sector 90,8466.666666666666,3,3,3+,1,2,Relatively New,1500.0,0,72
dlf regal gardens,1.65,sector 90,8684.21052631579,4,4,3+,1,8,Relatively New,1900.0,0,79
dlf regal gardens,1.24,sector 90,7750.0,3,3,3+,1,9,Relatively New,1600.0,0,72
the close north,2.7,sector 50,11455.239711497667,3,3,3+,1,3,Moderately Old,2357.0,0,117
bptp terra,1.98,sector 37d,9984.871406959153,3,3,3+,1,12,New Property,1983.0,2,49
experion windchants,2.5,sector 112,12893.044460374518,2,2,3,2,10,Relatively New,1939.03,2,174
emaar mgf emerald floors premier,2.29,sector 65,12493.180578286961,3,4,3+,2,2,Relatively New,1833.0,1,174
m3m merlin,2.98,sector 67,16090.712742980562,3,3,3,1,0,Relatively New,1852.0,2,49
emaar palm gardens,1.35,sector 83,9733.23720259553,3,3,3,1,7,Relatively New,1387.0,0,24
shri banke bihari society,1.37,sector 56,9448.275862068967,3,3,3+,1,2,Old Property,1450.0,0,174
kiran residency,1.55,sector 56,8611.111111111111,3,3,3+,3,5,Old Property,1800.0,0,166
ambience lagoon,4.25,sector 24,13277.100905966885,3,4,3+,2,3,Old Property,3201.0,2,143
vatika the seven lamps,1.28,sector 82,7111.111111111111,3,3,3,1,3,Relatively New,1800.0,2,165
shapoorji pallonji joyville gurugram,1.95,sector 102,13310.580204778156,3,3,3,1,12,New Property,1465.0,0,72
bestech park view grand spa,2.35,sector 81,9351.372861122165,3,4,3+,1,6,Relatively New,2513.0,2,101
m3m golfestate,5.0,sector 65,17857.14285714286,3,3,3+,2,28,Relatively New,2800.0,2,165
imperia the esfera,0.99,sector 37c,6025.562994522215,3,3,1,1,10,New Property,1643.0,0,49
dlf new town heights,1.95,sector 90,7939.739413680782,4,4,3+,2,24,Relatively New,2456.0,0,174
bestech park view grand spa,3.3,sector 81,10749.185667752443,4,5,3+,2,4,Relatively New,3070.0,2,174
ireo victory valley,4.75,sector 67,14843.75,4,4,3+,4,0,Relatively New,3200.0,2,165
m3m skywalk,1.5,sector 74,11538.461538461539,2,2,3,1,17,Relatively New,1300.0,0,174
dlf new town heights,1.54,sector 90,7000.0,4,4,3+,2,12,Moderately Old,2200.0,2,111
dlf new town heights,1.27,sector 86,7055.555555555556,3,4,3,2,19,Relatively New,1800.0,0,126
dlf regal gardens,1.17,sector 90,7177.914110429448,3,3,3,0,15,Relatively New,1630.0,2,136
dlf the primus,1.8,sector 82a,11650.485436893205,3,3,3+,1,10,Relatively New,1545.0,1,174
ansal housing highland park,0.8,sector 103,7346.189164370982,2,2,3,1,3,New Property,1089.0,0,174
bestech park view city,1.76,sector 48,11167.51269035533,3,3,3+,2,9,Moderately Old,1576.0,2,158
conscient heritage max,2.22,sector 102,11100.000000000002,3,4,3+,2,15,Relatively New,2000.0,0,82
dlf regency park,1.24,sector 28,11809.52380952381,2,2,3+,1,19,Moderately Old,1050.0,2,157
godrej,1.12,sector 79,8452.830188679247,2,2,3,1,6,Relatively New,1325.0,0,49
adani m2k oyster grande,1.9,sector 102,11838.006230529594,3,4,3,1,21,Relatively New,1605.0,0,60
dlf regency park,1.35,sector 28,12053.57142857143,2,2,2,1,14,Old Property,1120.0,0,66
ats kocoon,2.22,sector 109,11708.860759493673,3,3,3,2,20,Relatively New,1896.0,0,79
experion the heartsong,0.9,sector 108,7751.937984496124,2,3,3,2,7,Relatively New,1161.0,0,72
ats tourmaline,1.75,sector 109,8992.805755395684,3,4,3+,2,2,Relatively New,1946.0,0,65
orris aster court,0.67,sector 85,5360.0,2,2,2,1,5,Relatively New,1250.0,2,174
ireo victory valley,2.95,sector 67,13193.202146690519,3,3,3+,2,14,Moderately Old,2236.0,2,165
pioneer park,2.04,sector 61,12789.968652037618,3,3,3+,1,16,Moderately Old,1595.0,2,165
alpha corp gurgaonone,2.24,sector 84,7077.409162717221,4,4,3,1,12,Relatively New,3165.0,0,20
godrej icon,1.31,sector 88a,8954.203691045795,2,2,3+,1,3,Relatively New,1463.0,0,102
emaar mgf emerald estate,1.7,sector 65,15726.179463459759,3,3,3,1,7,Relatively New,1081.0,2,116
vatika gurgaon,1.19,sector 83,6692.913385826771,3,3,2,1,10,Relatively New,1778.0,2,35
emaar palm heights,1.75,sector 77,9210.526315789473,3,3,3+,1,11,Relatively New,1900.0,0,94
vatika gurgaon,1.12,sector 83,7466.666666666668,3,3,2,0,17,Moderately Old,1500.0,2,111
green campus chs,0.92,manesar,4781.704781704781,3,3,3+,1,8,Moderately Old,1924.0,0,5
green campus chs,0.9,manesar,4347.826086956522,3,3,3+,1,6,Moderately Old,2070.0,0,5
puri emerald bay,2.3,sector 104,10374.379792512404,3,4,3+,1,10,Moderately Old,2217.0,0,101
puri emerald bay,1.58,sector 104,10273.081924577373,2,3,3,1,11,Relatively New,1538.0,0,101
indiabulls enigma,4.25,sector 110,12104.813443463401,5,5,3+,1,4,Relatively New,3511.0,0,101
bestech park view sanskruti,1.68,sector 92,9312.638580931263,3,4,3+,1,15,Relatively New,1804.0,2,174
ireo victory valley,4.55,sector 67,16060.713025061772,4,4,3+,1,19,Relatively New,2833.0,2,156
bestech park view spa next,2.85,sector 67,13399.153737658675,4,4,3+,2,5,Moderately Old,2127.0,2,149
bestech park view spa next,2.35,sector 67,13420.902341519131,3,4,3+,1,14,Moderately Old,1751.0,2,156
dlf the ultima,2.3,sector 81,12150.026413100899,3,4,3+,1,6,New Property,1893.0,1,167
dlf the ultima,2.26,sector 81,11894.736842105262,3,4,3+,1,17,New Property,1900.0,1,174
ambience creacions,4.78,sector 22,19120.0,3,4,3,2,7,Relatively New,2500.0,1,111
tulip ivory,2.0,sector 70,9220.83909635777,4,5,3+,1,7,Moderately Old,2169.0,2,174
ireo skyon,3.75,sector 60,14150.943396226416,4,4,3,1,12,Relatively New,2650.0,2,49
ambience creacions,6.16,sector 22,18481.848184818482,4,5,3+,2,10,New Property,3333.0,2,49
m3m golfestate,5.3,sector 65,21149.24181963288,3,3,3,1,38,Moderately Old,2506.0,1,49
umang winter hills,0.75,sector 77,6578.9473684210525,2,2,2,1,8,Relatively New,1140.0,2,102
mapsko mount ville,1.25,sector 79,11814.744801512288,3,3,3,1,18,Relatively New,1058.0,2,102
godrej,2.0,sector 79,10188.487009679062,3,4,3+,1,9,Relatively New,1963.0,0,108
mapsko mount ville,1.3,sector 79,11054.421768707483,3,3,3,1,19,Relatively New,1176.0,2,102
city heights,1.75,sector 39,7875.787578757876,3,4,3,1,3,Old Property,2222.0,1,42
kw royal court,2.0,sector 39,5624.29696287964,5,4,3,1,9,Old Property,3556.0,1,49
shree vardhman victoria,1.78,sector 70,10084.985835694051,3,3,3+,2,7,Relatively New,1765.0,0,49
alpha corp gurgaonone,1.15,sector 84,8249.641319942612,2,2,3,1,14,Relatively New,1394.0,0,28
cghs airport apartment,1.65,sector 47,8656.873032528856,3,3,3,1,1,Old Property,1906.0,2,136
gls avenue 51,0.21,sector 92,6250.0,1,1,1,0,0,Relatively New,336.0,0,63
kamroon court,2.75,sector 43,12376.237623762376,3,4,3+,2,5,Moderately Old,2222.0,2,49
bestech park view spa next,2.72,sector 67,12088.88888888889,4,4,3+,2,0,Relatively New,2250.0,2,128
unitech uniworld gardens,2.4,sector 47,12526.096033402922,3,4,3+,1,10,Moderately Old,1916.0,0,103
tata primanti,4.1,sector 72,17764.29809358752,3,3,3,1,8,Moderately Old,2308.0,0,38
chd avenue,1.12,sector 71,6866.952789699572,3,4,3,1,0,Moderately Old,1631.0,0,65
shree vardhman flora,0.65,sector 90,5319.148936170212,2,2,3,1,10,Moderately Old,1222.0,2,83
krrish provence estate,7.5,gwal pahari,8287.292817679558,5,6,3+,3,23,Relatively New,9050.0,0,49
dlf the crest,11.0,sector 54,31939.60511033682,4,5,3+,3,7,Relatively New,3444.0,0,49
dlf regal gardens,1.26,sector 90,7860.2620087336245,3,3,3,1,6,Relatively New,1603.0,2,28
dlf regal gardens,1.8,sector 90,8977.556109725685,4,4,3+,0,7,Moderately Old,2005.0,0,38
m3m golfestate,5.9,sector 65,19388.76109102859,3,3,3,2,18,Relatively New,3043.0,0,76
bestech park view city,2.9,sector 49,13444.598980064906,4,4,3+,1,5,Moderately Old,2157.0,0,117
dlf the skycourt,1.59,sector 86,9352.941176470587,3,3,3,1,17,Relatively New,1700.0,2,165
dlf the ultima,2.21,sector 81,11749.069643806486,3,3,3+,1,3,Relatively New,1881.0,1,149
emaar palm gardens,1.48,sector 83,9554.551323434474,3,3,3,1,7,Relatively New,1549.0,0,66
experion the heartsong,0.98,sector 108,10018.093904296535,2,3,3,1,4,Relatively New,978.23,0,135
shapoorji pallonji joyville gurugram,2.04,sector 102,12408.759124087592,3,3,3+,0,1,Relatively New,1644.0,0,72
orris aster court premier,1.5,sector 85,7436.787307882994,4,5,3+,1,6,New Property,2017.0,2,28
orris aster court premier,1.49,sector 85,7387.208725830441,4,5,3+,1,10,Relatively New,2017.0,2,84
orris aster court premier,1.2,sector 85,7272.727272727273,3,4,2,1,6,Relatively New,1650.0,0,28
shree vardhman flora,0.86,sector 90,5639.3442622950815,3,4,3,1,0,Relatively New,1525.0,2,84
orris carnation residency,0.9,sector 85,5714.285714285715,4,4,3,0,8,Moderately Old,1575.0,2,40
saan verdante,2.0,sector 95,10183.299389002037,3,4,3+,1,5,New Property,1964.0,0,49
tulip violet,1.85,sector 69,10170.423309510721,4,4,2,0,14,Relatively New,1819.0,2,157
puri emerald bay,2.65,sector 104,12679.425837320574,3,4,3,1,15,Relatively New,2090.0,2,174
emaar gurgaon greens,1.5,sector 102,11406.84410646388,3,3,3,1,7,Relatively New,1315.0,2,174
ats kocoon,1.75,sector 109,11290.322580645161,3,3,3,1,10,Relatively New,1550.0,2,49
puri emerald bay,1.32,sector 104,9408.41054882395,2,2,2,0,10,Relatively New,1403.0,0,128
vatika city homes,0.8,sector 83,6694.5606694560665,2,2,2,1,8,Moderately Old,1195.0,0,22
experion the heartsong,1.2,sector 108,7741.935483870968,3,2,3+,2,11,Relatively New,1550.0,2,174
pioneer urban presidia,6.5,sector 62,16560.509554140128,4,4,3+,1,3,Moderately Old,3925.0,0,86
paras dews,1.17,sector 106,9865.092748735244,3,4,3+,1,12,Relatively New,1186.0,0,49
paras dews,1.15,sector 106,8812.260536398468,3,4,3,2,5,Relatively New,1305.0,0,49
la vida by tata housing,2.48,sector 113,12525.252525252525,3,3,3+,1,8,New Property,1980.0,0,79
shri banke bihari society,1.35,sector 56,9310.344827586207,3,3,3+,1,4,Old Property,1450.0,2,174
indiabulls centrum park,1.15,sector 103,10648.148148148148,2,2,3,1,10,Relatively New,1080.0,2,174
sobha city,2.95,sector 108,18437.5,3,4,2,0,12,Relatively New,1600.0,0,49
m3m merlin,3.4,sector 67,15932.521087160263,3,4,3,1,17,Relatively New,2134.0,2,174
m3m merlin,2.8,sector 67,15110.631408526713,3,3,3,1,2,Relatively New,1853.0,1,174
ats kocoon,2.15,sector 109,11339.662447257384,3,4,3,1,9,Relatively New,1896.0,0,97
shapoorji pallonji joyville gurugram,1.76,sector 102,11495.754408883084,3,3,3,0,1,Relatively New,1531.0,0,100
puri diplomatic greens,3.45,sector 111,12921.348314606741,4,5,3+,1,10,Relatively New,2670.0,0,101
indiabulls enigma,3.3,sector 110,10883.905013192612,4,5,3,1,7,Relatively New,3032.0,0,101
ats triumph,1.75,sector 104,8445.945945945947,3,4,3+,1,11,Relatively New,2072.0,0,110
ats triumph,2.78,sector 104,9750.96457383374,4,4,3+,1,11,Relatively New,2851.0,0,110
paras dews,1.42,sector 106,6663.53824495542,4,6,3+,1,11,Relatively New,2131.0,0,143
shapoorji pallonji joyville gurugram,2.4,sector 102,12263.668880940215,4,4,3+,0,15,Relatively New,1957.0,0,108
experion the heartsong,2.28,sector 108,9065.606361829025,4,5,3+,0,8,Relatively New,2515.0,0,101
sobha city,1.9,sector 108,15200.0,2,2,2,0,8,Relatively New,1250.0,0,85
sobha city,3.25,sector 108,17333.333333333332,3,3,3,0,12,Relatively New,1875.0,0,99
sbtl caladium,1.6,sector 109,6947.459834997829,3,3,3,1,9,Relatively New,2303.0,0,75
ats triumph,4.45,sector 104,6161.728053170867,4,5,3+,0,27,Relatively New,7222.0,0,110
m3m woodshire,0.82,sector 107,6634.304207119741,2,2,3+,0,7,Relatively New,1236.0,0,111
signature global solera,0.5,sector 107,6973.5006973500695,3,2,2,1,6,Relatively New,717.0,0,15
signature global solera,0.52,sector 107,7252.440725244072,3,2,2,1,5,Relatively New,717.0,0,15
signature global solera,0.28,sector 107,5156.537753222837,2,2,2,0,6,Relatively New,543.0,0,45
signature global solera,0.29,sector 107,5340.699815837937,2,2,2,0,3,Relatively New,543.0,0,45
experion the heartsong,0.97,sector 108,8311.91088260497,2,2,3,1,10,Relatively New,1167.0,0,165
m3m woodshire,0.8,sector 107,6472.491909385113,2,2,3+,0,7,Relatively New,1236.0,2,165
emaar gurgaon greens,1.45,sector 102,11026.61596958175,3,3,3,1,10,Relatively New,1315.0,0,165
laxmi apartment,0.55,sai kunj,5826.271186440678,3,2,1,0,3,Relatively New,944.0,0,0
pareena coban residences,1.1,sector 99a,8040.93567251462,2,2,3,1,9,New Property,1368.0,0,88
ireo the corridors,1.4,sector 67a,12184.508268059182,2,2,2,2,8,Relatively New,1149.0,0,90
tulip violet,1.42,sector 69,9943.977591036415,3,3,2,1,8,Relatively New,1428.0,2,94
dlf the primus,2.95,sector 82a,13981.042654028435,4,5,3+,1,10,Relatively New,2110.0,1,174
experion windchants,2.6,sector 112,13408.766238789498,2,2,3,0,8,Relatively New,1939.03,0,168
ansal housing highland park,1.1,sector 103,7333.333333333333,3,3,3+,0,7,New Property,1500.0,0,87
m3m woodshire,0.75,sector 107,6244.796003330558,2,2,3+,1,14,Relatively New,1201.0,0,174
m3m woodshire,1.3,sector 107,8365.508365508365,3,3,3+,1,4,Relatively New,1554.0,2,174
m3m woodshire,1.49,sector 107,6972.391202620496,3,4,3+,2,5,Relatively New,2137.0,2,174
godrej oasis,1.19,sector 88a,8579.668348954578,2,2,3,2,15,Relatively New,1387.0,2,174
godrej oasis,1.15,sector 88a,8333.333333333334,2,2,3,2,14,Relatively New,1380.0,0,174
satya the hermitage,0.99,sector 103,5719.237435008666,3,4,3+,2,2,Relatively New,1731.0,2,174
vatika gurgaon,0.78,sector 83,9176.470588235294,2,2,2,2,3,Relatively New,850.0,2,165
vatika gurgaon,1.15,sector 83,8518.518518518518,3,3,2,4,3,Relatively New,1350.0,2,165
raheja vedaanta,0.8,sector 108,4810.583283223091,3,3,3,1,9,Relatively New,1663.0,0,174
conscient heritage max,2.2,sector 102,18549.74704890388,3,4,3+,2,20,Relatively New,1186.0,2,45
shree arihant apartment,1.55,sector 54,8157.894736842105,3,3,3,1,3,Moderately Old,1900.0,2,109
tulip violet,1.55,sector 69,10854.341736694678,3,3,2,1,0,Relatively New,1428.0,2,129
tulip white,0.9,sector 69,6787.330316742082,3,2,3+,0,1,Relatively New,1326.0,2,149
denso haryana housing society,0.9,manesar,3877.638948728996,3,3,3+,1,5,Moderately Old,2321.0,0,7
the nav manesar apartment,0.85,sector 1,4367.9342240493315,3,3,3+,1,5,Moderately Old,1946.0,0,5
ireo skyon,3.0,sector 60,12500.0,3,3,3,1,5,Relatively New,2400.0,2,174
ireo skyon,2.12,sector 60,15703.703703703704,2,2,2,1,2,Relatively New,1350.0,2,174
umang winter hills,1.05,sector 77,6562.5,3,3,3,0,7,Relatively New,1600.0,0,49
ss the leaf,1.65,sector 85,7572.280862781092,3,4,3,1,9,New Property,2179.0,0,21
alpha corp gurgaonone,1.5,sector 84,8183.306055646482,3,3,3,1,20,Relatively New,1833.0,2,37
m3m merlin,3.4,sector 67,15932.521087160263,3,4,3+,1,16,Relatively New,2134.0,2,158
m3m merlin,3.5,sector 67,16401.124648547328,3,4,3+,1,15,Relatively New,2134.0,2,158
ireo victory valley,3.15,sector 67,14195.58359621451,3,4,3+,2,15,Relatively New,2219.0,2,149
dlf the icon,5.25,sector 43,20428.015564202335,4,4,3,3,9,Old Property,2570.0,0,135
m3m merlin,2.78,sector 67,15010.799136069112,3,3,3+,1,4,Relatively New,1852.0,2,157
ansal heights,0.72,sector 92,4235.294117647059,3,3,3,1,9,Relatively New,1700.0,0,49
professors enclave cghs,1.55,sector 56,8563.53591160221,3,3,3+,1,6,Moderately Old,1810.0,2,49
ansal maple heights,1.5,sector 43,10830.324909747293,3,3,3+,1,7,Old Property,1385.0,2,174
ireo victory valley,3.05,sector 67,13863.636363636364,3,4,2,2,35,Relatively New,2200.0,2,165
ireo the grand arch,3.83,sector 58,19150.0,3,4,2,2,10,Relatively New,2000.0,2,174
m3m skywalk,2.25,sector 74,11609.907120743033,3,3,2,1,9,Relatively New,1938.0,2,174
vatika gurgaon,1.4,sector 83,6460.5445316105215,4,4,3,1,10,Relatively New,2167.0,0,35
experion windchants,3.75,sector 112,14787.066246056782,3,5,3+,1,22,Relatively New,2536.0,2,49
capital residences 360,1.51,sector 70a,8445.190156599552,3,3,3,1,7,Relatively New,1788.0,0,49
bestech park view city,2.7,sector 48,13500.0,3,3,3+,2,7,Relatively New,2000.0,2,174
la vida by tata housing,3.35,sector 113,11200.267469073888,4,4,3+,2,11,Relatively New,2991.0,2,174
tulip violet,1.5,sector 69,10053.619302949062,3,3,2,1,8,Relatively New,1492.0,2,174
bestech park view grand spa,2.2,sector 81,8867.39218057235,3,4,3+,1,8,Relatively New,2481.0,2,165
dlf the primus,2.55,sector 82a,14382.402707275804,4,4,3+,0,14,Relatively New,1773.0,1,44
signature global synera,0.45,sector 81,6777.108433734939,2,2,2,1,6,Relatively New,664.0,2,39
vatika gurgaon,1.18,sector 83,7292.954264524104,3,3,2,0,14,Relatively New,1618.0,0,26
alpha corp gurgaonone,0.85,sector 84,7340.241796200346,2,2,3,0,6,Relatively New,1158.0,2,28
alpha corp gurgaonone,1.49,sector 84,8128.7506819421715,3,3,3,1,6,Relatively New,1833.0,0,28
parsvnath exotica,6.5,sector 53,21666.666666666668,4,5,3+,3,10,Relatively New,3000.0,2,174
sare homes,1.18,sector 92,4686.258935663225,4,4,3,1,8,Relatively New,2518.0,0,108
sare homes,0.8,sector 92,4728.132387706856,3,3,3,1,7,Relatively New,1692.0,2,80
vatika gurgaon,1.42,sector 83,7100.0,4,4,3,2,7,Relatively New,2000.0,0,103
m3m golfestate,5.0,sector 65,15408.320493066256,3,3,3,1,2,Relatively New,3245.0,2,174
dlf the skycourt,1.72,sector 86,9851.088201603665,3,3,1,1,8,Relatively New,1746.0,2,49
emaar emerald hills,1.95,sector 65,12532.133676092544,3,3,3+,1,1,New Property,1556.0,1,117
mapsko paradise,0.75,sector 83,6454.388984509466,3,3,3,1,10,New Property,1162.0,2,49
bptp terra,1.72,sector 37d,8673.726676752396,3,3,3+,1,10,Relatively New,1983.0,0,31
adani m2k oyster grande,2.5,sector 102,9615.384615384615,4,5,3+,2,10,Relatively New,2600.0,2,174
emaar imperial gardens,1.7,sector 102,9714.285714285714,3,4,3+,2,8,Relatively New,1750.0,2,174
unitech fresco,1.14,sector 50,8571.42857142857,2,2,2,1,19,Moderately Old,1330.0,2,174
ansal maple crescent,1.35,sector 43,10227.272727272728,3,3,3,1,2,Old Property,1320.0,2,93
prime habitat,0.27,sector 99a,5421.686746987952,2,2,1,0,10,Relatively New,498.0,0,67
dlf new town heights,1.4,sector 86,6566.604127579737,4,4,3+,2,20,Relatively New,2132.0,0,65
dlf new town heights,1.25,sector 86,7155.123068116772,3,4,3+,2,2,Relatively New,1747.0,0,65
ss the leaf,1.18,sector 85,6941.176470588235,2,2,3,1,9,Relatively New,1700.0,2,150
ss the leaf,1.1,sector 85,6875.0,2,2,3,1,10,Relatively New,1600.0,0,150
m3m woodshire,1.21,sector 107,7063.631056625803,3,3,3,0,7,Moderately Old,1713.0,2,126
indiabulls enigma,3.45,sector 110,11212.219694507638,4,4,3,1,9,Moderately Old,3077.0,0,125
shapoorji pallonji joyville gurugram,1.95,sector 102,11634.844868735083,3,3,3,0,10,Relatively New,1676.0,0,59
puri diplomatic greens,3.65,sector 111,13670.411985018727,4,5,3+,1,17,Moderately Old,2670.0,2,132
dlf regency park,2.3,sector 28,12943.162633652222,3,3,3,1,7,Moderately Old,1777.0,0,117
emaar mgf the palm drive,3.4,sector 66,17076.845806127574,3,4,3,2,9,Relatively New,1991.0,2,96
eldeco accolade,1.14,sohna road,8248.914616497828,3,3,3+,0,4,Relatively New,1382.0,0,157
eldeco accolade,0.96,sohna road,8488.063660477454,2,2,3+,1,14,Relatively New,1131.0,0,151
la vida by tata housing,3.05,sector 113,14186.046511627907,3,4,3,1,3,Relatively New,2150.0,0,174
la vida by tata housing,2.35,sector 113,12176.165803108808,3,4,3,1,3,Relatively New,1930.0,0,174
pareena coban residences,1.05,sector 99a,7553.956834532374,2,2,3,1,2,Relatively New,1390.0,0,49
pareena coban residences,1.02,sector 99a,7132.867132867133,2,2,3,1,3,Relatively New,1430.0,0,174
pareena coban residences,1.08,sector 99a,6171.428571428572,3,5,3,2,2,Relatively New,1750.0,0,49
tata gurgaon gateway,1.75,sector 113,12237.762237762237,2,2,2,1,10,Relatively New,1430.0,0,104
tata gurgaon gateway,2.45,sector 113,12164.846077457796,3,3,3,0,8,Relatively New,2014.0,0,110
tata gurgaon gateway,6.0,sector 113,8225.939128050453,5,6,3+,0,24,Moderately Old,7294.0,0,117
ats kocoon,1.68,sector 109,10639.64534515516,3,3,3,0,8,Relatively New,1579.0,0,142
shapoorji pallonji joyville gurugram,1.26,sector 102,11454.545454545454,2,2,2,0,10,Relatively New,1100.0,0,108
conscient heritage max,1.82,sector 102,10358.565737051793,3,4,3+,1,12,Relatively New,1757.0,0,101
puri diplomatic greens,2.58,sector 111,12958.312405826218,3,4,2,1,9,Relatively New,1991.0,0,101
la vida by tata housing,1.75,sector 113,12289.32584269663,2,2,3,1,10,Relatively New,1424.0,0,93
sobha city,2.6,sector 108,16795.865633074936,3,3,2,0,8,Relatively New,1548.0,0,99
sobha city,2.9,sector 108,15995.587424158854,3,4,2,0,11,Relatively New,1813.0,0,108
m3m woodshire,1.4,sector 107,6551.240056153486,3,4,3+,1,6,Relatively New,2137.0,0,117
ats tourmaline,2.95,sector 109,10347.246580147317,4,5,3+,1,10,Relatively New,2851.0,0,101
ats tourmaline,2.25,sector 109,9619.495510902096,3,4,3,1,14,Relatively New,2339.0,0,101
ats tourmaline,1.4,sector 109,8838.38383838384,3,3,3+,0,9,Relatively New,1584.0,0,95
sbtl caladium,1.26,sector 109,7407.407407407408,3,2,3,0,8,Relatively New,1701.0,0,103
tulip violet,1.7,sector 69,9534.492428491307,4,4,1,0,12,Relatively New,1783.0,0,88
tulip violet,1.43,sector 69,10014.005602240897,3,3,2,1,1,Relatively New,1428.0,0,102
tulip violet,1.3,sector 69,9161.38125440451,3,3,1,1,12,Relatively New,1419.0,0,86
tulip violet,1.32,sector 69,9302.32558139535,3,3,1,1,12,Relatively New,1419.0,0,86
tulip violet,2.0,sector 69,10995.052226498075,4,4,2,0,0,Relatively New,1819.0,0,95
tulip violet,1.43,sector 69,9828.178694158076,3,3,2,1,1,Relatively New,1455.0,0,86
dlf the ultima,3.46,sector 81,13312.812620238554,4,4,3+,1,10,New Property,2599.0,1,161
dlf the ultima,2.25,sector 81,11664.07465007776,3,3,3+,1,6,New Property,1929.0,1,168
ats kocoon,1.7,sector 109,10967.741935483871,3,3,3,0,21,Moderately Old,1550.0,0,49
sbtl caladium,1.8,sector 109,9000.0,3,3,3+,0,10,Relatively New,2000.0,0,174
sbtl caladium,1.35,sector 109,9140.14895057549,3,2,3+,0,12,Relatively New,1477.0,0,128
m3m golfestate,5.4,sector 65,20029.67359050445,3,4,3,2,19,Moderately Old,2696.0,2,174
shree arihant apartment,1.55,sector 54,7750.0,3,3,3+,2,3,Moderately Old,2000.0,2,125
m3m skywalk,1.6,sector 74,10610.079575596817,2,2,2,0,26,Relatively New,1508.0,2,158
the lions cghs,2.09,sector 56,9086.95652173913,4,4,3+,1,7,Relatively New,2300.0,2,125
sunischit apartments,1.75,sector 54,8333.333333333334,3,3,3+,1,6,Moderately Old,2100.0,2,126
emaar palm gardens,1.38,sector 83,10222.22222222222,3,3,3,1,5,Relatively New,1350.0,2,8
emaar mgf emerald floors premier,2.25,sector 65,14062.5,3,3,3,2,3,Relatively New,1600.0,2,49
dlf the ultima,2.4,sector 81,12611.665790856543,3,4,3+,1,19,Relatively New,1903.0,1,174
emaar palm gardens,1.72,sector 83,10750.0,3,3,3,1,4,Relatively New,1600.0,2,165
umang monsoon breeze,0.88,sector 78,5275.779376498801,3,4,3,2,8,Moderately Old,1668.0,0,111
emaar palm gardens,3.15,sector 83,9843.75,5,7,3+,1,15,Relatively New,3200.0,2,165
bptp terra,1.72,sector 37d,12527.312454479243,3,3,3,1,9,Relatively New,1373.0,2,24
m3m skywalk,1.47,sector 74,11475.409836065573,2,2,3,0,26,New Property,1281.0,2,31
chd avenue,1.1,sector 71,6744.3286327406495,3,4,3,1,3,Moderately Old,1631.0,0,26
chd avenue,1.32,sector 71,6649.8740554156175,4,4,3,1,14,Moderately Old,1985.0,0,65
chd avenue,1.3,sector 71,6111.8946873530795,4,4,3,1,5,Moderately Old,2127.0,0,126
chd avenue,1.35,sector 71,6346.967559943582,4,4,3,1,8,Moderately Old,2127.0,0,26
bptp mansions park prime,3.0,sector 66,11111.111111111111,4,4,3,4,3,Relatively New,2700.0,2,174
dlf the skycourt,1.6,sector 86,10335.917312661499,3,3,3+,1,9,Relatively New,1548.0,2,167
bestech park view city,3.0,sector 49,13636.363636363636,4,4,3,2,5,Moderately Old,2200.0,2,141
hsiidc sidco aravali,0.9,manesar,4736.8421052631575,3,3,3+,1,8,Moderately Old,1900.0,0,23
sunischit apartments,1.75,sector 54,9210.526315789473,3,4,3+,1,5,Moderately Old,1900.0,2,83
shapoorji pallonji joyville gurugram,2.0,sector 102,11933.174224343675,3,3,3,0,9,Relatively New,1676.0,0,49
