society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,extra_rooms,floorNum,agePossession,built_up_area,furnishing_type,luxury_score
ansal heights,0.6,sector 92,5020.92050209205,2,2,3,1,11,Under Construction,1195.0,0,23
malibu towne,2.4,sector 47,8998.875140607424,3,3,0,0,0,Moderately Old,2667.0,2,22
aipl zen residences,1.25,sector 70a,8915.83452211127,2,2,3,0,19,Relatively New,1402.0,0,0
m3m heights,2.15,sector 65,15003.489183531054,2,2,3+,0,28,Relatively New,1433.0,0,48
hcbs sports ville,0.29,sohna road,3903.0955585464335,2,2,1,0,4,Relatively New,743.0,0,0
hcbs sports ville,0.38,sohna road,5066.666666666667,2,2,2,0,9,Relatively New,750.0,0,0
housing apna enclave,0.39,sector 4,4105.263157894737,2,2,1,0,1,Relatively New,950.0,0,0
assotech blith,1.6,sector 99,6666.666666666667,3,4,0,0,15,New Property,2400.0,0,51
pareena mi casa,1.7,sector 68,9397.457158651188,4,4,3,0,2,New Property,1809.0,0,47
suncity heights,3.25,sector 54,12705.238467552776,3,3,3+,1,0,Old Property,2558.0,2,120
lotus homz,0.6,sector 111,7604.5627376425855,2,2,3,0,9,New Property,789.0,0,52
ramson kshitij sec-95 gurugram,0.27,sector 95,3562.0052770448547,2,2,0,0,1,New Property,758.0,0,0
maruti vihar colony,0.95,sector 28,7996.632996632997,2,1,1,0,1,Old Property,1188.0,0,59
m3m heights,2.65,sector 65,20431.765612952968,2,2,3,1,4,New Property,1297.0,0,38
supertech basera,0.36,sector 79,6593.406593406594,2,2,1,0,4,New Property,546.0,0,60
signature global the millennia,0.55,sector 37d,10128.91344383057,2,2,3,0,3,New Property,543.0,0,53
m3m soulitude,1.32,sector 89,15224.913494809689,3,3,3,0,1,Under Construction,867.0,0,45
raheja vanya,0.59,sector 99a,5207.413945278023,2,2,3,1,1,Under Construction,1133.0,0,96
"ganpati apartment  2, laxman vihar phase 1",0.45,sector 4,4766.949152542373,2,2,1,0,0,Relatively New,944.0,2,46
ramprastha the atrium,0.9,sector 37d,7594.93670886076,3,3,2,0,13,Relatively New,1185.0,2,37
m3m golfestate,1.4,sector 79,8997.429305912596,2,2,2,3,4,Relatively New,1556.0,1,83
eldeco accolade,0.95,sohna road,8414.526129317981,2,2,3+,1,6,New Property,1129.0,2,56
m3m heights,3.0,sector 65,18137.847642079807,3,3,3,0,20,Under Construction,1654.0,0,60
m3m heights,3.67,sector 65,19880.82340195016,3,3,2,1,27,Under Construction,1846.0,0,43
vatika sovereign next,3.85,sector 82a,6741.376291367536,5,6,3+,2,6,New Property,5711.0,2,148
m3m heights,3.29,sector 65,19891.172914147523,3,3,3,0,33,New Property,1654.0,0,49
m3m heights,2.33,sector 65,20420.68361086766,2,2,3,0,35,Under Construction,1141.0,2,49
m3m heights,2.79,sector 65,16868.19830713422,3,3,3,0,26,New Property,1654.0,0,15
south city 1 floors,3.4,sector 41,11724.137931034482,4,4,3,0,0,Old Property,2900.0,0,0
allure homes,0.72,sector 12,6545.454545454545,2,2,1,1,2,Relatively New,1100.0,2,16
zara aavaas,0.4,sector 104,7782.101167315175,2,2,1,0,4,Relatively New,514.0,0,52
sidhartha ncr one phase,0.56,sector 95,4538.08752025932,2,2,2,0,10,Relatively New,1234.0,2,60
chd avenue,1.1,sector 71,7503.410641200546,3,3,3,1,11,Relatively New,1466.0,0,72
ramprastha the edge towers,0.71,sector 37d,6454.545454545455,2,2,3,1,10,New Property,1100.0,0,38
supertech araville,0.78,sector 79,6655.290102389078,2,2,3+,1,0,New Property,1172.0,0,74
imperia aashiyara,0.4,sector 37c,5291.005291005291,2,2,3,0,3,Under Construction,756.0,0,126
la vida by tata housing,1.85,sector 113,12946.116165150455,3,2,2,0,7,New Property,1429.0,0,13
shapoorji pallonji joyville gurugram,1.1,sector 102,13463.892288861689,2,2,1,0,8,Under Construction,817.0,0,105
smart world orchard,1.41,sector 61,12260.869565217392,2,2,2,1,2,Under Construction,1150.0,0,76
supertech araville,1.45,sector 79,6709.856547894493,3,3,3,0,3,Relatively New,2161.0,0,0
smart world orchard,2.2,sector 61,12373.453318335209,3,3,2,0,1,Under Construction,1778.0,0,49
unitech the residences,1.1,sector 33,10000.0,2,2,3,0,9,Moderately Old,1100.0,2,44
emaar imperial gardens,2.05,sector 102,9111.111111111111,3,4,3+,1,14,Relatively New,2250.0,0,116
sare homes,0.6,sector 92,4501.12528132033,3,2,3,0,4,Moderately Old,1333.0,2,49
greenopolis,0.8,sector 89,5326.231691078562,2,3,3,2,8,Under Construction,1502.0,0,60
pivotal devaan,0.41,sector 84,7256.637168141592,2,2,2,0,10,New Property,565.0,2,23
today callidora,0.9,sector 73,5548.705302096178,3,3,3,1,3,Under Construction,1622.0,0,63
"m m residency, krishna colony, gurgaon",0.54,sector 7,5400.0,2,2,1,0,3,Relatively New,1000.0,0,70
signature global park 4,0.82,sector 36,9647.05882352941,3,2,2,0,2,New Property,850.0,0,8
chd avenue,1.0,sector 71,7440.476190476191,3,3,3+,0,3,Relatively New,1344.0,2,7
park royal apartment,1.85,sector 56,8121.158911325724,3,4,3,1,7,Old Property,2278.0,2,72
vatika boulevard residences and heights,1.42,sector 83,7200.811359026369,3,3,2,0,2,Relatively New,1972.0,2,113
signature global the millennia,0.55,sector 37d,9016.393442622952,2,2,3,0,3,New Property,610.0,0,71
m3m heights,2.29,sector 65,14384.422110552763,2,2,3,1,8,Under Construction,1592.0,0,15
