price,sector,built_up_area,bedRoom,bathroom,balcony,extra_rooms,agePossession,furnishing_type,luxury_category,floor_category
0.5,sector 107,494.0,2,2,1,0,Relatively New,0,Medium,High Floor
0.9,sector 79,1450.0,2,2,3,1,Relatively New,0,Medium,Mid Floor
1.3,sector 89,2122.0,3,3,3+,1,New Property,0,Low,Low Floor
1.7,sector 33,1619.0,3,3,3,0,Under Construction,0,Low,High Floor
1.25,sector 92,2040.0,4,3,0,0,Under Construction,0,Low,High Floor
2.91,sector 82a,3902.0,4,4,3,3,Under Construction,2,Medium,Mid Floor
1.15,sector 12,2000.0,3,4,2,3,Old Property,2,Low,Low Floor
1.2,sector 89,1064.0,3,3,3,2,Under Construction,0,Medium,Mid Floor
1.5,sohna road road,1361.0,2,2,3,0,New Property,0,Low,High Floor
1.3,sohna road,1509.0,3,3,3+,0,Relatively New,0,Low,Mid Floor
1.75,sector 104,1529.0,3,3,3,0,Under Construction,0,Low,Low Floor
0.55,sector 3 phase 2,778.0,2,2,1,1,Relatively New,2,Medium,Mid Floor
2.5,sector 65,1654.0,3,3,3,0,Under Construction,0,Low,High Floor
0.43,rajiv colony,733.0,2,2,1,0,Moderately Old,0,Low,Low Floor
0.8,sector 2,1440.0,3,2,3,0,Moderately Old,0,Low,Mid Floor
0.45,garauli kalan,905.0,3,3,2,0,Under Construction,0,Low,High Floor
0.7,sector 108,1468.0,2,2,1,0,Moderately Old,0,Low,Mid Floor
1.95,sector 37d,1650.0,4,3,3,0,Under Construction,0,Medium,Mid Floor
0.45,sector 90,696.0,2,2,1,0,New Property,2,Low,Low Floor
1.7,sector 79,1570.0,3,2,3,0,Relatively New,0,Low,Mid Floor
1.1,bhawani enclave,2000.0,3,2,3,0,Old Property,0,Low,Mid Floor
0.5,sector 86,578.0,2,2,1,0,Relatively New,0,Low,Mid Floor
2.8,sector 65,1654.0,3,3,3,0,Under Construction,0,Medium,High Floor
1.45,sector 33,926.0,3,2,3+,1,Under Construction,0,Medium,High Floor
2.2,sector 61,1811.0,3,3,2,0,Under Construction,0,Low,Mid Floor
0.9,sohna road,1105.0,2,2,2,0,Relatively New,1,Medium,High Floor
0.4,sector 95,571.0,2,2,2,0,New Property,2,Low,Mid Floor
1.35,sector 77,1451.0,3,3,3+,1,New Property,2,Medium,Mid Floor
1.85,sector 67a,2556.0,4,4,0,0,New Property,0,Low,Mid Floor
0.25,sector 95,344.0,1,1,1,0,New Property,0,Low,Mid Floor
0.88,sector 89,1228.0,2,2,3,1,New Property,0,Low,Low Floor
1.15,sector 99,1235.0,2,2,2,1,New Property,2,Medium,Low Floor
1.6,iffco chowk,1188.0,3,3,3,0,Moderately Old,0,Low,Mid Floor
0.85,sector 99a,1133.0,2,2,2,0,New Property,0,Low,Mid Floor
0.75,sector 82a,1000.0,2,2,2,0,Relatively New,0,Low,Low Floor
3.35,sector 2,5000.0,4,4,3+,1,New Property,0,Medium,Low Floor
1.5,sector 88a,1674.0,3,3,3+,0,New Property,0,Low,High Floor
